player_id,web_name,first,second,team_id,position,price_gbp,as_of_utc
1,Raya,David,Raya Martín,1,GKP,5.5,2025-08-05 11:41:48.981601
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,GKP,4.5,2025-08-05 11:41:48.981601
3,Hein,Karl,Hein,1,GKP,4.0,2025-08-05 11:41:48.981601
4,Setford,Tommy,Setford,1,GKP,4.0,2025-08-05 11:41:48.981601
5,Gabriel,Gabriel,dos Santos Magalhães,1,DEF,6.0,2025-08-05 11:41:48.981601
6,Saliba,William,Saliba,1,DEF,6.0,2025-08-05 11:41:48.981601
7,Calafiori,Riccardo,Calafiori,1,DEF,5.5,2025-08-05 11:41:48.981601
8,J.Timber,Jurriën,Timber,1,DEF,5.5,2025-08-05 11:41:48.981601
9,Kiwior,Jakub,Kiwior,1,DEF,5.5,2025-08-05 11:41:48.981601
10,Lewis-Skelly,Myles,Lewis-Skelly,1,DEF,5.5,2025-08-05 11:41:48.981601
11,White,Benjamin,White,1,DEF,5.5,2025-08-05 11:41:48.981601
12,Zinchenko,Oleksandr,Zinchenko,1,DEF,5.0,2025-08-05 11:41:48.981601
13,Clarke,Brayden,Clarke,1,DEF,4.0,2025-08-05 11:41:48.981601
14,Kacurri,Maldini,Kacurri,1,DEF,4.0,2025-08-05 11:41:48.981601
15,Nichols,Josh,Nichols,1,DEF,4.0,2025-08-05 11:41:48.981601
16,Saka,Bukayo,Saka,1,MID,10.0,2025-08-05 11:41:48.981601
17,Ødegaard,Martin,Ødegaard,1,MID,8.0,2025-08-05 11:41:48.981601
18,Madueke,Noni,Madueke,1,MID,7.0,2025-08-05 11:41:48.981601
19,Martinelli,Gabriel,Martinelli Silva,1,MID,7.0,2025-08-05 11:41:48.981601
20,Trossard,Leandro,Trossard,1,MID,7.0,2025-08-05 11:41:48.981601
21,Rice,Declan,Rice,1,MID,6.5,2025-08-05 11:41:48.981601
22,Merino,Mikel,Merino Zazón,1,MID,6.0,2025-08-05 11:41:48.981601
23,Fábio Vieira,Fábio,Ferreira Vieira,1,MID,5.5,2025-08-05 11:41:48.981601
24,Nørgaard,Christian,Nørgaard,1,MID,5.5,2025-08-05 11:41:48.981601
25,Nwaneri,Ethan,Nwaneri,1,MID,5.5,2025-08-05 11:41:48.981601
26,Zubimendi,Martín,Zubimendi Ibáñez,1,MID,5.5,2025-08-05 11:41:48.981601
27,Nelson,Reiss,Nelson,1,MID,5.0,2025-08-05 11:41:48.981601
28,Kabia,Ismeal,Kabia,1,MID,4.5,2025-08-05 11:41:48.981601
29,Sambi,Albert,Sambi Lokonga,1,MID,4.5,2025-08-05 11:41:48.981601
30,Havertz,Kai,Havertz,1,FWD,7.5,2025-08-05 11:41:48.981601
31,G.Jesus,Gabriel,Fernando de Jesus,1,FWD,6.5,2025-08-05 11:41:48.981601
662,Mosquera,Cristhian,Mosquera,1,DEF,5.5,2025-08-05 11:41:48.981601
666,Gyökeres,Viktor,Gyökeres,1,FWD,9.0,2025-08-05 11:41:48.981601
32,Martinez,Emiliano,Martínez Romero,2,GKP,5.0,2025-08-05 11:41:48.981601
33,M.Bizot,Marco,Bizot,2,GKP,4.5,2025-08-05 11:41:48.981601
34,Gauci,Joe,Gauci,2,GKP,4.0,2025-08-05 11:41:48.981601
35,Marschall,Filip,Marschall,2,GKP,4.0,2025-08-05 11:41:48.981601
36,Cash,Matty,Cash,2,DEF,4.5,2025-08-05 11:41:48.981601
37,Digne,Lucas,Digne,2,DEF,4.5,2025-08-05 11:41:48.981601
38,Konsa,Ezri,Konsa Ngoyo,2,DEF,4.5,2025-08-05 11:41:48.981601
39,Maatsen,Ian,Maatsen,2,DEF,4.5,2025-08-05 11:41:48.981601
40,Mings,Tyrone,Mings,2,DEF,4.5,2025-08-05 11:41:48.981601
41,Pau,Pau,Torres,2,DEF,4.5,2025-08-05 11:41:48.981601
42,A.García,Andrés,García,2,DEF,4.0,2025-08-05 11:41:48.981601
43,Alex Moreno,Álex,Moreno Lopera,2,DEF,4.0,2025-08-05 11:41:48.981601
44,Bogarde,Lamare,Bogarde,2,DEF,4.0,2025-08-05 11:41:48.981601
45,Sousa,Lino,da Cruz Sousa,2,DEF,4.0,2025-08-05 11:41:48.981601
46,Yasin,Yasin,Özcan,2,DEF,4.0,2025-08-05 11:41:48.981601
47,Rogers,Morgan,Rogers,2,MID,7.0,2025-08-05 11:41:48.981601
48,Tielemans,Youri,Tielemans,2,MID,6.0,2025-08-05 11:41:48.981601
49,Bailey,Leon,Bailey,2,MID,5.5,2025-08-05 11:41:48.981601
50,Buendía,Emiliano,Buendía Stati,2,MID,5.5,2025-08-05 11:41:48.981601
51,Iling Jr,Samuel,Iling-Junior,2,MID,5.5,2025-08-05 11:41:48.981601
52,J.Ramsey,Jacob,Ramsey,2,MID,5.5,2025-08-05 11:41:48.981601
53,Malen,Donyell,Malen,2,MID,5.5,2025-08-05 11:41:48.981601
54,McGinn,John,McGinn,2,MID,5.5,2025-08-05 11:41:48.981601
55,Barkley,Ross,Barkley,2,MID,5.0,2025-08-05 11:41:48.981601
56,Barrenechea,Enzo,Barrenechea,2,MID,5.0,2025-08-05 11:41:48.981601
57,Dobbin,Lewis,Dobbin,2,MID,5.0,2025-08-05 11:41:48.981601
58,Kamara,Boubacar,Kamara,2,MID,5.0,2025-08-05 11:41:48.981601
59,Onana,Amadou,Onana,2,MID,5.0,2025-08-05 11:41:48.981601
60,Broggio,Ben,Broggio,2,MID,4.5,2025-08-05 11:41:48.981601
61,Dendoncker,Leander,Dendoncker,2,MID,4.5,2025-08-05 11:41:48.981601
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,2,MID,4.5,2025-08-05 11:41:48.981601
63,Young,Kadan,Young,2,MID,4.5,2025-08-05 11:41:48.981601
64,Watkins,Ollie,Watkins,2,FWD,9.0,2025-08-05 11:41:48.981601
65,Redmond,Zépiqueno,Redmond,2,FWD,4.5,2025-08-05 11:41:48.981601
183,Weiss,Max,Weiß,3,GKP,4.5,2025-08-05 11:41:48.981601
184,Green,Etienne,Green,3,GKP,4.0,2025-08-05 11:41:48.981601
185,Hladký,Václav,Hladký,3,GKP,4.0,2025-08-05 11:41:48.981601
186,Roberts,Connor,Roberts,3,DEF,4.5,2025-08-05 11:41:48.981601
187,Walker,Kyle,Walker,3,DEF,4.5,2025-08-05 11:41:48.981601
188,Delcroix,Hannes,Delcroix,3,DEF,4.0,2025-08-05 11:41:48.981601
189,Dodgson,Owen,Dodgson,3,DEF,4.0,2025-08-05 11:41:48.981601
190,Ekdal,Hjalmar,Ekdal,3,DEF,4.0,2025-08-05 11:41:48.981601
191,Estève,Maxime,Estève,3,DEF,4.0,2025-08-05 11:41:48.981601
192,Hartman,Quilindschy,Hartman,3,DEF,4.0,2025-08-05 11:41:48.981601
