team_id,name,short_name,as_of_utc
1,Arsenal,ARS,2025-08-05 11:41:48.984145
2,Aston Villa,AVL,2025-08-05 11:41:48.984145
3,Burnley,BUR,2025-08-05 11:41:48.984145
4,Bournemouth,BOU,2025-08-05 11:41:48.984145
5,Brentford,BRE,2025-08-05 11:41:48.984145
6,Brighton,BHA,2025-08-05 11:41:48.984145
7,Chelsea,CHE,2025-08-05 11:41:48.984145
8,Crystal Palace,CRY,2025-08-05 11:41:48.984145
9,Everton,EVE,2025-08-05 11:41:48.984145
10,Fulham,FUL,2025-08-05 11:41:48.984145
11,Leeds,LEE,2025-08-05 11:41:48.984145
12,Liverpool,LIV,2025-08-05 11:41:48.984145
13,Man City,MCI,2025-08-05 11:41:48.984145
14,Man Utd,MUN,2025-08-05 11:41:48.984145
15,Newcastle,NEW,2025-08-05 11:41:48.984145
16,Nott'm Forest,NFO,2025-08-05 11:41:48.984145
17,Sunderland,SUN,2025-08-05 11:41:48.984145
18,Spurs,TOT,2025-08-05 11:41:48.984145
19,West Ham,WHU,2025-08-05 11:41:48.984145
20,Wolves,WOL,2025-08-05 11:41:48.984145
