player,team,team_id,season,xG90,xA90,minutes,player_id
Aaron Cresswell,WHU,19,2024-2025,0.03,0.21,818,517
Aaron Ramsdale,SUN,17,2024-2025,0.0,0.0,2700,14
Aaron Wan-Bissaka,WHU,19,2024-2025,0.03,0.08,3154,388
Abdoulaye Doucouré,CRY,8,2024-2025,0.15,0.05,2563,217
Abdukodir Khusanov,MCI,13,2024-2025,0.0,0.02,503,732
Abdul Fatawu,LEE,11,2024-2025,0.06,0.22,576,570
Adam Armstrong,SUN,17,2024-2025,0.24,0.04,1246,453
Adam Lallana,SUN,17,2024-2025,0.04,0.12,352,463
Adam Smith,BUR,3,2024-2025,0.04,0.04,1586,81
Adam Webster,BRE,5,2024-2025,0.03,0.03,885,147
Adam Wharton,CHE,7,2024-2025,0.03,0.15,1314,216
Adama Traoré,EVE,9,2024-2025,0.21,0.24,1756,239
Albert Grønbæk,SUN,17,2024-2025,0.08,0.01,141,734
Alejandro Garnacho,MUN,14,2024-2025,0.3,0.11,2188,372
Alex Iwobi,EVE,9,2024-2025,0.13,0.21,2981,247
Alex McCarthy,SUN,17,2024-2025,0.0,0.0,450,469
Alex Palmer,FUL,10,2024-2025,0.0,0.0,1170,764
Alex Scott,BUR,3,2024-2025,0.09,0.12,745,77
Alexander Isak,NEW,15,2024-2025,0.66,0.12,2758,401
Alexis Mac Allister,LIV,12,2024-2025,0.1,0.19,2597,329
Ali Al-Hamadi,FUL,10,2024-2025,0.25,0.03,125,260
Alisson Ramses Becker,LIV,12,2024-2025,0.0,0.01,2508,310
Alphonse Areola,WHU,19,2024-2025,0.0,0.0,2259,513
Altay Bayindir,MUN,14,2024-2025,0.0,0.0,360,367
Amad Diallo,MUN,14,2024-2025,0.22,0.19,1898,364
Amadou Onana,AVL,2,2024-2025,0.12,0.05,1613,233
Andreas Hoelgebaum Pereira,EVE,9,2024-2025,0.19,0.21,2004,240
Andrew Robertson,LIV,12,2024-2025,0.04,0.16,2479,335
André Onana,MUN,14,2024-2025,0.0,0.01,3060,383
André Trindade da Costa Neto,WOL,20,2024-2025,0.01,0.02,2472,642
Andrés García,AVL,2,2024-2025,0.01,0.14,316,731
Andy Irving,WHU,19,2024-2025,0.07,0.07,161,576
Anthony Elanga,NFO,16,2024-2025,0.17,0.18,2496,432
Anthony Gordon,NEW,15,2024-2025,0.3,0.18,2428,398
Antoine Semenyo,BUR,3,2024-2025,0.27,0.12,3202,78
Antonee Robinson,EVE,9,2024-2025,0.02,0.12,3166,255
Antony Matheus dos Santos,MUN,14,2024-2025,0.4,0.14,135,365
Antonín Kinsky,TOT,18,2024-2025,0.0,0.0,540,716
Archie Gray,TOT,18,2024-2025,0.0,0.01,1750,489
Arijanet Muric,FUL,10,2024-2025,0.0,0.0,1620,568
Armando Broja,CRY,8,2024-2025,0.03,0.03,327,156
Armel Bella-Kotchap,SUN,17,2024-2025,0.09,0.0,329,456
Ashley Young,CRY,8,2024-2025,0.01,0.14,1864,238
Axel Disasi,AVL,2,2024-2025,0.04,0.04,851,167
Axel Tuanzebe,FUL,10,2024-2025,0.01,0.01,1710,282
Ayden Heaven,MUN,14,2024-2025,0.06,0.01,169,658
Bart Verbruggen,BRE,5,2024-2025,0.0,0.0,3240,146
Ben Brereton Díaz,SUN,17,2024-2025,0.18,0.03,446,584
Ben Chilwell,CHE,7,2024-2025,0.09,0.31,254,160
Ben Davies,TOT,18,2024-2025,0.02,0.03,1329,484
Ben Godfrey,FUL,10,2024-2025,0.0,0.01,158,715
Ben Johnson,FUL,10,2024-2025,0.07,0.06,1346,275
Ben Mee,BOU,4,2024-2025,0.0,0.01,180,100
Benjamin White,ARS,1,2024-2025,0.03,0.1,1195,24
Benoît Badiashile,BHA,6,2024-2025,0.0,0.02,332,153
Bernardo Veiga de Carvalho e Silva,MCI,13,2024-2025,0.13,0.15,2667,342
Bernd Leno,EVE,9,2024-2025,0.0,0.0,3420,248
Bilal El Khannouss,LEE,11,2024-2025,0.05,0.12,2179,635
Billy Gilmour,BRE,5,2024-2025,0.07,0.04,97,124
Bobby De Cordova-Reid,LEE,11,2024-2025,0.1,0.02,734,290
