player,status,return_estimate,suspended
Mohamed Salah,available,,0
Erling Haaland,available,,0
Cole Palmer,available,,0
Alexander Isak,available,,0
Bukayo Saka,available,,0
Viktor Gyökeres,available,,0
Ollie Watkins,available,,0
Bruno Borges Fernandes,available,,0
Florian Wirtz,available,,0
Hugo Ekitiké,available,,0
Omar Marmoush,available,,0
Son Heung-min,available,,0
Martin Ødegaard,available,,0
Luis Díaz Marulanda,available,,0
Phil Foden,available,,0
Bryan Mbeumo,available,,0
Matheus Santos Carneiro da Cunha,available,,0
Jarrod Bowen,available,,0
Kai Havertz,available,,0
Yoane Wissa,available,,0
João Pedro Junqueira de Jesus,available,,0
Eberechi Eze,available,,0
Jean-Philippe Mateta,available,,0
Cody Gakpo,available,,0
Anthony Gordon,available,,0
Morgan Gibbs-White,available,,0
Chris Wood,available,,0
Dominic Solanke-Mitchell,available,,0
Noni Madueke,available,,0
Gabriel Martinelli Silva,available,,0
Leandro Trossard,available,,0
Morgan Rogers,available,,0
Justin Kluivert,available,,0
Antoine Semenyo,available,,0
Francisco Evanilson de Lima Barbosa,available,,0
Kevin Schade,available,,0
Pedro Lomba Neto,available,,0
Sávio Moreira de Oliveira,available,,0
Marcus Rashford,available,,0
Anthony Elanga,available,,0
