date_utc,home_team,away_team,home_goals,away_goals,season
2024-08-16 19:00:00,Man Utd,Everton,1,0,2024-2025
2024-08-17 11:30:00,Fulham,Liverpool,0,2,2024-2025
2024-08-17 14:00:00,Arsenal,Wolves,2,0,2024-2025
2024-08-17 14:00:00,Crystal Palace,Brentford,0,3,2024-2025
2024-08-17 14:00:00,Newcastle,Sunderland,1,0,2024-2025
2024-08-17 14:00:00,Nott'm Forest,Burnley,1,1,2024-2025
2024-08-17 16:30:00,West Ham,Aston Villa,1,2,2024-2025
2024-08-18 13:00:00,Bournemouth,Chelsea,2,1,2024-2025
2024-08-18 15:30:00,Brighton,Man City,0,2,2024-2025
2024-08-19 19:00:00,Leeds,Spurs,1,1,2024-2025
2024-08-24 11:30:00,Brentford,Man Utd,2,1,2024-2025
2024-08-24 14:00:00,Chelsea,West Ham,0,2,2024-2025
2024-08-24 14:00:00,Everton,Leeds,2,1,2024-2025
2024-08-24 14:00:00,Man City,Fulham,4,1,2024-2025
2024-08-24 14:00:00,Sunderland,Nott'm Forest,0,1,2024-2025
2024-08-24 14:00:00,Spurs,Crystal Palace,4,0,2024-2025
2024-08-24 16:30:00,Aston Villa,Arsenal,0,2,2024-2025
2024-08-25 13:00:00,Burnley,Newcastle,1,1,2024-2025
2024-08-25 13:00:00,Wolves,Brighton,2,6,2024-2025
2024-08-25 15:30:00,Liverpool,Bournemouth,2,0,2024-2025
2024-08-31 11:30:00,Arsenal,Brentford,1,1,2024-2025
2024-08-31 14:00:00,Bournemouth,Sunderland,3,1,2024-2025
2024-08-31 14:00:00,Crystal Palace,Burnley,2,3,2024-2025
2024-08-31 14:00:00,Fulham,Everton,1,1,2024-2025
2024-08-31 14:00:00,Leeds,Aston Villa,1,2,2024-2025
2024-08-31 14:00:00,Nott'm Forest,Wolves,1,1,2024-2025
2024-08-31 16:30:00,West Ham,Man City,1,3,2024-2025
2024-09-01 12:30:00,Brighton,Chelsea,1,1,2024-2025
2024-09-01 12:30:00,Newcastle,Spurs,2,1,2024-2025
2024-09-01 15:00:00,Man Utd,Liverpool,0,3,2024-2025
2024-09-14 11:30:00,Sunderland,Man Utd,0,3,2024-2025
2024-09-14 14:00:00,Brentford,Fulham,0,0,2024-2025
2024-09-14 14:00:00,Chelsea,Leeds,2,2,2024-2025
2024-09-14 14:00:00,Everton,West Ham,1,1,2024-2025
2024-09-14 14:00:00,Liverpool,Nott'm Forest,0,1,2024-2025
2024-09-14 14:00:00,Man City,Bournemouth,2,1,2024-2025
2024-09-14 16:30:00,Aston Villa,Crystal Palace,3,2,2024-2025
2024-09-14 19:00:00,Burnley,Brighton,0,1,2024-2025
2024-09-15 13:00:00,Spurs,Arsenal,0,1,2024-2025
2024-09-15 15:30:00,Wolves,Newcastle,1,2,2024-2025
2024-09-21 11:30:00,West Ham,Brighton,0,3,2024-2025
2024-09-21 14:00:00,Aston Villa,Wolves,3,1,2024-2025
2024-09-21 14:00:00,Everton,Newcastle,3,1,2024-2025
2024-09-21 14:00:00,Leeds,Crystal Palace,1,1,2024-2025
2024-09-21 14:00:00,Liverpool,Burnley,3,0,2024-2025
2024-09-21 14:00:00,Sunderland,Fulham,1,1,2024-2025
2024-09-21 14:00:00,Spurs,Bournemouth,3,1,2024-2025
2024-09-21 16:30:00,Chelsea,Man Utd,0,0,2024-2025
2024-09-22 13:00:00,Brentford,Nott'm Forest,2,2,2024-2025
2024-09-22 15:30:00,Man City,Arsenal,2,2,2024-2025
2024-09-28 11:30:00,Newcastle,Man City,1,1,2024-2025
2024-09-28 14:00:00,Arsenal,Leeds,4,2,2024-2025
2024-09-28 14:00:00,Bournemouth,West Ham,1,1,2024-2025
2024-09-28 14:00:00,Brighton,Brentford,4,2,2024-2025
2024-09-28 14:00:00,Crystal Palace,Chelsea,2,1,2024-2025
2024-09-28 14:00:00,Nott'm Forest,Everton,0,1,2024-2025
2024-09-28 16:30:00,Wolves,Liverpool,1,2,2024-2025
2024-09-29 13:00:00,Fulham,Aston Villa,2,2,2024-2025
2024-09-29 15:30:00,Man Utd,Spurs,0,3,2024-2025
2024-09-30 19:00:00,Burnley,Sunderland,3,1,2024-2025
2024-10-05 11:30:00,Chelsea,Liverpool,0,1,2024-2025
2024-10-05 14:00:00,Arsenal,Sunderland,3,1,2024-2025
2024-10-05 14:00:00,Bournemouth,Wolves,5,3,2024-2025
2024-10-05 14:00:00,Leeds,Burnley,1,0,2024-2025
2024-10-05 14:00:00,Man City,Everton,3,2,2024-2025
2024-10-05 14:00:00,West Ham,Fulham,4,1,2024-2025
2024-10-05 16:30:00,Crystal Palace,Newcastle,0,0,2024-2025
2024-10-06 13:00:00,Aston Villa,Man Utd,0,0,2024-2025
2024-10-06 13:00:00,Brighton,Nott'm Forest,1,1,2024-2025
2024-10-06 15:30:00,Brentford,Spurs,3,2,2024-2025
2024-10-19 11:30:00,Spurs,West Ham,4,1,2024-2025
2024-10-19 14:00:00,Everton,Aston Villa,1,3,2024-2025
2024-10-19 14:00:00,Man Utd,Bournemouth,2,1,2024-2025
2024-10-19 14:00:00,Newcastle,Brentford,0,1,2024-2025
2024-10-19 14:00:00,Sunderland,Leeds,2,3,2024-2025
2024-10-19 14:15:00,Fulham,Crystal Palace,0,2,2024-2025
2024-10-19 16:30:00,Burnley,Arsenal,2,0,2024-2025
2024-10-20 13:00:00,Wolves,Man City,1,2,2024-2025
2024-10-20 15:30:00,Liverpool,Brighton,2,1,2024-2025
2024-10-21 19:00:00,Nott'm Forest,Chelsea,1,0,2024-2025
2024-10-25 19:00:00,Leeds,Nott'm Forest,1,3,2024-2025
2024-10-26 14:00:00,Aston Villa,Burnley,1,1,2024-2025
2024-10-26 14:00:00,Bournemouth,Fulham,4,3,2024-2025
2024-10-26 14:00:00,Brentford,Wolves,2,2,2024-2025
2024-10-26 14:00:00,Man City,Sunderland,1,0,2024-2025
2024-10-26 16:30:00,Crystal Palace,Everton,1,1,2024-2025
2024-10-27 14:00:00,Brighton,Newcastle,2,1,2024-2025
2024-10-27 14:00:00,Chelsea,Spurs,1,0,2024-2025
2024-10-27 14:00:00,West Ham,Man Utd,2,1,2024-2025
2024-10-27 16:30:00,Arsenal,Liverpool,2,2,2024-2025
2024-11-02 12:30:00,Newcastle,Arsenal,1,0,2024-2025
2024-11-02 15:00:00,Burnley,Man City,2,1,2024-2025
2024-11-02 15:00:00,Fulham,Leeds,1,1,2024-2025
2024-11-02 15:00:00,Liverpool,Brentford,2,1,2024-2025
2024-11-02 15:00:00,Nott'm Forest,West Ham,3,0,2024-2025
